Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"White matter integrity in obstructive sleep apnea before and after treatment.","/pubmed/25142557","Castronovo V, Scifo P, Castellano A, Aloia MS, Iadanza A, Marelli S, Cappa SF, Strambi LF, Falini A.","Sleep. 2014 Sep 1;37(9):1465-75. doi: 10.5665/sleep.3994.","Sleep.  2014","PubMed","citation","PMID:25142557 | PMCID:PMC4153061","pubmed","25142557","create date:2014/08/22 | first author:Castronovo V",
"Fetal MRI insular cortical morphometry and its association with neurobehavior in late-onset small-for-gestational-age fetuses.","/pubmed/24616027","Egaña-Ugrinovic G, Sanz-Cortes M, Figueras F, Couve-Perez C, Gratacós E.","Ultrasound Obstet Gynecol. 2014 Sep;44(3):322-9. doi: 10.1002/uog.13360.","Ultrasound Obstet Gynecol.  2014","PubMed","citation","PMID:24616027","pubmed","24616027","create date:2014/03/13 | first author:Egaña-Ugrinovic G",
"Clinical use of diffusion tensor image-merged functional neuronavigation for brain tumor surgeries: review of preoperative, intraoperative, and postoperative data for 123 cases.","/pubmed/25048489","Cho JM, Kim EH, Kim J, Lee SK, Kim SH, Lee KS, Chang JH.","Yonsei Med J. 2014 Sep;55(5):1303-9. doi: 10.3349/ymj.2014.55.5.1303.","Yonsei Med J.  2014","PubMed","citation","PMID:25048489 | PMCID:PMC4108816","pubmed","25048489","create date:2014/07/23 | first author:Cho JM",
"Multimodal white matter imaging to investigate reduced fractional anisotropy and its age-related decline in schizophrenia.","/pubmed/24909602","Kochunov P, Chiappelli J, Wright SN, Rowland LM, Patel B, Wijtenburg SA, Nugent K, McMahon RP, Carpenter WT, Muellerklein F, Sampath H, Hong LE.","Psychiatry Res. 2014 Aug 30;223(2):148-56. doi: 10.1016/j.pscychresns.2014.05.004. Epub 2014 May 21.","Psychiatry Res.  2014","PubMed","citation","PMID:24909602 | PMCID:PMC4100065","pubmed","24909602","create date:2014/06/10 | first author:Kochunov P",
"Longitudinal brain white matter alterations in minimal hepatic encephalopathy before and after liver transplantation.","/pubmed/25166619","Lin WC, Chou KH, Chen CL, Chen HL, Lu CH, Li SH, Huang CC, Lin CP, Cheng YF.","PLoS One. 2014 Aug 28;9(8):e105887. doi: 10.1371/journal.pone.0105887. eCollection 2014.","PLoS One.  2014","PubMed","citation","PMID:25166619 | PMCID:PMC4148329","pubmed","25166619","create date:2014/08/29 | first author:Lin WC",
"Structural and functional brain changes beyond visual system in patients with advanced glaucoma.","/pubmed/25162716","Frezzotti P, Giorgio A, Motolese I, De Leucio A, Iester M, Motolese E, Federico A, De Stefano N.","PLoS One. 2014 Aug 27;9(8):e105931. doi: 10.1371/journal.pone.0105931. eCollection 2014.","PLoS One.  2014","PubMed","citation","PMID:25162716 | PMCID:PMC4146554","pubmed","25162716","create date:2014/08/28 | first author:Frezzotti P",
"DTI of the visual pathway - white matter tracts and cerebral lesions.","/pubmed/25226557","Hana A, Husch A, Gunness VR, Berthold C, Hana A, Dooms G, Boecher Schwarz H, Hertel F.","J Vis Exp. 2014 Aug 26;(90). doi: 10.3791/51946.","J Vis Exp.  2014","PubMed","citation","PMID:25226557 | PMCID:PMC4828020","pubmed","25226557","create date:2014/09/17 | first author:Hana A",
"Probabilistic diffusion tractography reveals improvement of structural network in musicians.","/pubmed/25157896","Li J, Luo C, Peng Y, Xie Q, Gong J, Dong L, Lai Y, Li H, Yao D.","PLoS One. 2014 Aug 26;9(8):e105508. doi: 10.1371/journal.pone.0105508. eCollection 2014.","PLoS One.  2014","PubMed","citation","PMID:25157896 | PMCID:PMC4144874","pubmed","25157896","create date:2014/08/27 | first author:Li J",
"Individual differences in impulsivity predict head motion during magnetic resonance imaging.","/pubmed/25148416","Kong XZ, Zhen Z, Li X, Lu HH, Wang R, Liu L, He Y, Zang Y, Liu J.","PLoS One. 2014 Aug 22;9(8):e104989. doi: 10.1371/journal.pone.0104989. eCollection 2014.","PLoS One.  2014","PubMed","citation","PMID:25148416 | PMCID:PMC4141798","pubmed","25148416","create date:2014/08/26 | first author:Kong XZ",
"Linear associations between clinically assessed upper motor neuron disease and diffusion tensor imaging metrics in amyotrophic lateral sclerosis.","/pubmed/25144708","Woo JH, Wang S, Melhem ER, Gee JC, Cucchiara A, McCluskey L, Elman L.","PLoS One. 2014 Aug 21;9(8):e105753. doi: 10.1371/journal.pone.0105753. eCollection 2014.","PLoS One.  2014","PubMed","citation","PMID:25144708 | PMCID:PMC4140827","pubmed","25144708","create date:2014/08/22 | first author:Woo JH",
"Diffusion tensor and volumetric magnetic resonance measures as biomarkers of brain damage in a small animal model of HIV.","/pubmed/25144656","Lentz MR, Peterson KL, Ibrahim WG, Lee DE, Sarlls J, Lizak MJ, Maric D, Reid WC, Hammoud DA.","PLoS One. 2014 Aug 21;9(8):e105752. doi: 10.1371/journal.pone.0105752. eCollection 2014.","PLoS One.  2014","PubMed","citation","PMID:25144656 | PMCID:PMC4140825","pubmed","25144656","create date:2014/08/22 | first author:Lentz MR",
"Links between white matter microstructure and cortisol reactivity to stress in early childhood: evidence for moderation by parenting.","/pubmed/25379418","Sheikh HI, Joanisse MF, Mackrell SM, Kryski KR, Smith HJ, Singh SM, Hayden EP.","Neuroimage Clin. 2014 Aug 20;6:77-85. doi: 10.1016/j.nicl.2014.08.013. eCollection 2014.","Neuroimage Clin.  2014","PubMed","citation","PMID:25379418 | PMCID:PMC4215465","pubmed","25379418","create date:2014/11/08 | first author:Sheikh HI",
"Automatic clustering and population analysis of white matter tracts using maximum density paths.","/pubmed/24747738","Prasad G, Joshi SH, Jahanshad N, Villalon-Reina J, Aganj I, Lenglet C, Sapiro G, McMahon KL, de Zubicaray GI, Martin NG, Wright MJ, Toga AW, Thompson PM.","Neuroimage. 2014 Aug 15;97:284-95. doi: 10.1016/j.neuroimage.2014.04.033. Epub 2014 Apr 18.","Neuroimage.  2014","PubMed","citation","PMID:24747738 | PMCID:PMC4065851","pubmed","24747738","create date:2014/04/22 | first author:Prasad G",
"Common genetic variants and gene expression associated with white matter microstructure in the human brain.","/pubmed/24736177","Sprooten E, Knowles EE, McKay DR, Göring HH, Curran JE, Kent JW Jr, Carless MA, Dyer TD, Drigalenko EI, Olvera RL, Fox PT, Almasy L, Duggirala R, Kochunov P, Blangero J, Glahn DC.","Neuroimage. 2014 Aug 15;97:252-61. doi: 10.1016/j.neuroimage.2014.04.021. Epub 2014 Apr 13.","Neuroimage.  2014","PubMed","citation","PMID:24736177 | PMCID:PMC4107465","pubmed","24736177","create date:2014/04/17 | first author:Sprooten E",
"Preventing visual field deficits from neurosurgery.","/pubmed/25015363","Winston GP, Daga P, White MJ, Micallef C, Miserocchi A, Mancini L, Modat M, Stretton J, Sidhu MK, Symms MR, Lythgoe DJ, Thornton J, Yousry TA, Ourselin S, Duncan JS, McEvoy AW.","Neurology. 2014 Aug 12;83(7):604-11. doi: 10.1212/WNL.0000000000000685. Epub 2014 Jul 11.","Neurology.  2014","PubMed","citation","PMID:25015363 | PMCID:PMC4141993","pubmed","25015363","create date:2014/07/13 | first author:Winston GP",
"Increased low-frequency oscillation amplitude of sensorimotor cortex associated with the severity of structural impairment in cervical myelopathy.","/pubmed/25111566","Zhou F, Gong H, Liu X, Wu L, Luk KD, Hu Y.","PLoS One. 2014 Aug 11;9(8):e104442. doi: 10.1371/journal.pone.0104442. eCollection 2014. Erratum in: PLoS One. 2014;9(10):e112588. ","PLoS One.  2014","PubMed","citation","PMID:25111566 | PMCID:PMC4128667","pubmed","25111566","create date:2014/08/12 | first author:Zhou F",
"Thalamic functional connectivity predicts seizure laterality in individual TLE patients: application of a biomarker development strategy.","/pubmed/25610790","Barron DS, Fox PT, Pardoe H, Lancaster J, Price LR, Blackmon K, Berry K, Cavazos JE, Kuzniecky R, Devinsky O, Thesen T.","Neuroimage Clin. 2014 Aug 7;7:273-80. doi: 10.1016/j.nicl.2014.08.002. eCollection 2015.","Neuroimage Clin.  2015","PubMed","citation","PMID:25610790 | PMCID:PMC4300013","pubmed","25610790","create date:2015/01/23 | first author:Barron DS",
"Voxel-based clustered imaging by multiparameter diffusion tensor images for glioma grading.","/pubmed/25180159","Inano R, Oishi N, Kunieda T, Arakawa Y, Yamao Y, Shibata S, Kikuchi T, Fukuyama H, Miyamoto S.","Neuroimage Clin. 2014 Aug 7;5:396-407. doi: 10.1016/j.nicl.2014.08.001. eCollection 2014.","Neuroimage Clin.  2014","PubMed","citation","PMID:25180159 | PMCID:PMC4145535","pubmed","25180159","create date:2014/09/03 | first author:Inano R",
"Agraphia of Kanji (Chinese characters): an early symptom of sporadic Creutzfeldt-Jakob disease in a Japanese patient: a case report.","/pubmed/25098795","Nakamura K, Sakai K, Samuraki M, Nozaki I, Notoya M, Yamada M.","J Med Case Rep. 2014 Aug 6;8:269. doi: 10.1186/1752-1947-8-269.","J Med Case Rep.  2014","PubMed","citation","PMID:25098795 | PMCID:PMC4132354","pubmed","25098795","create date:2014/08/08 | first author:Nakamura K",
"White matter correlates of cognitive dysfunction after mild traumatic brain injury.","/pubmed/25031282","Croall ID, Cowie CJ, He J, Peel A, Wood J, Aribisala BS, Mitchell P, Mendelow AD, Smith FE, Millar D, Kelly T, Blamire AM.","Neurology. 2014 Aug 5;83(6):494-501. doi: 10.1212/WNL.0000000000000666. Epub 2014 Jul 16.","Neurology.  2014","PubMed","citation","PMID:25031282 | PMCID:PMC4142001","pubmed","25031282","create date:2014/07/18 | first author:Croall ID",
"Gray and white matter changes in subjective cognitive impairment, amnestic mild cognitive impairment and Alzheimer's disease: a voxel-based analysis study.","/pubmed/25093415","Kiuchi K, Kitamura S, Taoka T, Yasuno F, Tanimura M, Matsuoka K, Ikawa D, Toritsuka M, Hashimoto K, Makinodan M, Kosaka J, Morikawa M, Kichikawa K, Kishimoto T.","PLoS One. 2014 Aug 5;9(8):e104007. doi: 10.1371/journal.pone.0104007. eCollection 2014.","PLoS One.  2014","PubMed","citation","PMID:25093415 | PMCID:PMC4122459","pubmed","25093415","create date:2014/08/06 | first author:Kiuchi K",
"Diffusion-weighted MRI characteristics of the cerebral metastasis to brain boundary predicts patient outcomes.","/pubmed/25086595","Zakaria R, Das K, Radon M, Bhojak M, Rudland PR, Sluming V, Jenkinson MD.","BMC Med Imaging. 2014 Aug 3;14:26. doi: 10.1186/1471-2342-14-26.","BMC Med Imaging.  2014","PubMed","citation","PMID:25086595 | PMCID:PMC4126355","pubmed","25086595","create date:2014/08/05 | first author:Zakaria R",
"Brain white matter involvement in hereditary spastic paraplegias: analysis with multiple diffusion tensor indices.","/pubmed/24788132","Aghakhanyan G, Martinuzzi A, Frijia F, Vavla M, Hlavata H, Baratto A, Martino N, Paparella G, Montanaro D.","AJNR Am J Neuroradiol. 2014 Aug;35(8):1533-8. doi: 10.3174/ajnr.A3897. Epub 2014 Apr 30.","AJNR Am J Neuroradiol.  2014","PubMed","citation","PMID:24788132","pubmed","24788132","create date:2014/05/03 | first author:Aghakhanyan G",
"Variation in anisotropy and diffusivity along the medulla oblongata and the whole spinal cord in adolescent idiopathic scoliosis: a pilot study using diffusion tensor imaging.","/pubmed/24788126","Kong Y, Shi L, Hui SC, Wang D, Deng M, Chu WC, Cheng JC.","AJNR Am J Neuroradiol. 2014 Aug;35(8):1621-7. doi: 10.3174/ajnr.A3912. Epub 2014 Apr 30.","AJNR Am J Neuroradiol.  2014","PubMed","citation","PMID:24788126","pubmed","24788126","create date:2014/05/03 | first author:Kong Y",
"Thalamo-cortical connectivity: what can diffusion tractography tell us about reading difficulties in children?","/pubmed/24963547","Fan Q, Davis N, Anderson AW, Cutting LE.","Brain Connect. 2014 Aug;4(6):428-39. doi: 10.1089/brain.2013.0203.","Brain Connect.  2014","PubMed","citation","PMID:24963547 | PMCID:PMC4120642","pubmed","24963547","create date:2014/06/26 | first author:Fan Q",
"The DCDC2/intron 2 deletion and white matter disorganization: focus on developmental dyslexia.","/pubmed/24926531","Marino C, Scifo P, Della Rosa PA, Mascheretti S, Facoetti A, Lorusso ML, Giorda R, Consonni M, Falini A, Molteni M, Gruen JR, Perani D.","Cortex. 2014 Aug;57:227-43. doi: 10.1016/j.cortex.2014.04.016. Epub 2014 May 9.","Cortex.  2014","PubMed","citation","PMID:24926531 | PMCID:PMC5975637","pubmed","24926531","create date:2014/06/14 | first author:Marino C",
"Spatial patterns of genome-wide expression profiles reflect anatomic and fiber connectivity architecture of healthy human brain.","/pubmed/24677576","Goel P, Kuceyeski A, LoCastro E, Raj A.","Hum Brain Mapp. 2014 Aug;35(8):4204-18. doi: 10.1002/hbm.22471. Epub 2014 Feb 22.","Hum Brain Mapp.  2014","PubMed","citation","PMID:24677576 | PMCID:PMC4283562","pubmed","24677576","create date:2014/03/29 | first author:Goel P",
"Profiles of white matter tract pathology in frontotemporal dementia.","/pubmed/24510641","Mahoney CJ, Ridgway GR, Malone IB, Downey LE, Beck J, Kinnunen KM, Schmitz N, Golden HL, Rohrer JD, Schott JM, Rossor MN, Ourselin S, Mead S, Fox NC, Warren JD.","Hum Brain Mapp. 2014 Aug;35(8):4163-79. doi: 10.1002/hbm.22468. Epub 2014 Feb 7.","Hum Brain Mapp.  2014","PubMed","citation","PMID:24510641 | PMCID:PMC4312919","pubmed","24510641","create date:2014/02/11 | first author:Mahoney CJ",
"Gray matter alterations in early aging: a diffusion magnetic resonance imaging study.","/pubmed/24382651","Rathi Y, Pasternak O, Savadjiev P, Michailovich O, Bouix S, Kubicki M, Westin CF, Makris N, Shenton ME.","Hum Brain Mapp. 2014 Aug;35(8):3841-56. doi: 10.1002/hbm.22441. Epub 2013 Dec 31.","Hum Brain Mapp.  2014","PubMed","citation","PMID:24382651 | PMCID:PMC4101075","pubmed","24382651","create date:2014/01/03 | first author:Rathi Y",
"Anatomo-functional study of the temporo-parieto-occipital region: dissection, tractographic and brain mapping evidence from a neurosurgical perspective.","/pubmed/24975421","De Benedictis A, Duffau H, Paradiso B, Grandi E, Balbi S, Granieri E, Colarusso E, Chioffi F, Marras CE, Sarubbo S.","J Anat. 2014 Aug;225(2):132-51. doi: 10.1111/joa.12204. Epub 2014 Jun 30.","J Anat.  2014","PubMed","citation","PMID:24975421 | PMCID:PMC4111924","pubmed","24975421","create date:2014/07/01 | first author:De Benedictis A",
"What's special about task in dystonia? A voxel-based morphometry and diffusion weighted imaging study.","/pubmed/24925463","Ramdhani RA, Kumar V, Velickovic M, Frucht SJ, Tagliati M, Simonyan K.","Mov Disord. 2014 Aug;29(9):1141-50. doi: 10.1002/mds.25934. Epub 2014 Jun 12.","Mov Disord.  2014","PubMed","citation","PMID:24925463 | PMCID:PMC4139455","pubmed","24925463","create date:2014/06/14 | first author:Ramdhani RA",
"Widespread age-related differences in the human brain microstructure revealed by quantitative magnetic resonance imaging.","/pubmed/24656835","Callaghan MF, Freund P, Draganski B, Anderson E, Cappelletti M, Chowdhury R, Diedrichsen J, Fitzgerald TH, Smittenaar P, Helms G, Lutti A, Weiskopf N.","Neurobiol Aging. 2014 Aug;35(8):1862-72. doi: 10.1016/j.neurobiolaging.2014.02.008. Epub 2014 Feb 15.","Neurobiol Aging.  2014","PubMed","citation","PMID:24656835 | PMCID:PMC4024196","pubmed","24656835","create date:2014/03/25 | first author:Callaghan MF",
"Investigation of memory, executive functions, and anatomic correlates in asymptomatic FMR1 premutation carriers.","/pubmed/24612675","Hippolyte L, Battistella G, Perrin AG, Fornari E, Cornish KM, Beckmann JS, Niederhauser J, Vingerhoets FJ, Draganski B, Maeder P, Jacquemont S.","Neurobiol Aging. 2014 Aug;35(8):1939-46. doi: 10.1016/j.neurobiolaging.2014.01.150. Epub 2014 Feb 5.","Neurobiol Aging.  2014","PubMed","citation","PMID:24612675","pubmed","24612675","create date:2014/03/13 | first author:Hippolyte L",
"Exploratory analysis of glyburide as a novel therapy for preventing brain swelling.","/pubmed/24671831","Sheth KN, Kimberly WT, Elm JJ, Kent TA, Yoo AJ, Thomalla G, Campbell B, Donnan GA, Davis SM, Albers GW, Jacobson S, del Zoppo G, Simard JM, Stern BJ, Mandava P.","Neurocrit Care. 2014 Aug;21(1):43-51. doi: 10.1007/s12028-014-9970-2.","Neurocrit Care.  2014","PubMed","citation","PMID:24671831 | PMCID:PMC4435684","pubmed","24671831","create date:2014/03/29 | first author:Sheth KN",
"Assessing white matter microstructure of the newborn with multi-shell diffusion MRI and biophysical compartment models.","/pubmed/24680870","Kunz N, Zhang H, Vasung L, O'Brien KR, Assaf Y, Lazeyras F, Alexander DC, Hüppi PS.","Neuroimage. 2014 Aug 1;96:288-99. doi: 10.1016/j.neuroimage.2014.03.057. Epub 2014 Mar 28.","Neuroimage.  2014","PubMed","citation","PMID:24680870","pubmed","24680870","create date:2014/04/01 | first author:Kunz N",
"Investigating Age-related changes in fine motor control across different effectors and the impact of white matter integrity.","/pubmed/24657352","Holtrop JL, Loucks TM, Sosnoff JJ, Sutton BP.","Neuroimage. 2014 Aug 1;96:81-7. doi: 10.1016/j.neuroimage.2014.03.045. Epub 2014 Mar 20.","Neuroimage.  2014","PubMed","citation","PMID:24657352 | PMCID:PMC4043873","pubmed","24657352","create date:2014/03/25 | first author:Holtrop JL",
"Development of cerebellar connectivity in human fetal brains revealed by high angular resolution diffusion tractography.","/pubmed/24650603","Takahashi E, Hayashi E, Schmahmann JD, Grant PE.","Neuroimage. 2014 Aug 1;96:326-33. doi: 10.1016/j.neuroimage.2014.03.022. Epub 2014 Mar 17.","Neuroimage.  2014","PubMed","citation","PMID:24650603 | PMCID:PMC4399810","pubmed","24650603","create date:2014/03/22 | first author:Takahashi E",
"Connectivity and tissue microstructural alterations in right and left temporal lobe epilepsy revealed by diffusion spectrum imaging.","/pubmed/26236626","Lemkaddem A, Daducci A, Kunz N, Lazeyras F, Seeck M, Thiran JP, Vulliémoz S.","Neuroimage Clin. 2014 Aug 1;5:349-58. doi: 10.1016/j.nicl.2014.07.013. eCollection 2014.","Neuroimage Clin.  2014","PubMed","citation","PMID:26236626 | PMCID:PMC4519999","pubmed","26236626","create date:2014/01/01 | first author:Lemkaddem A",
"Diffusion tensor imaging in extremely low birth weight infants managed with hypercapnic vs. normocapnic ventilation.","/pubmed/24671721","Ou X, Glasier CM, Ramakrishnaiah RH, Angtuaco TL, Mulkey SB, Ding Z, Kaiser JR.","Pediatr Radiol. 2014 Aug;44(8):980-6. doi: 10.1007/s00247-014-2946-8. Epub 2014 Mar 27.","Pediatr Radiol.  2014","PubMed","citation","PMID:24671721 | PMCID:PMC4204475","pubmed","24671721","create date:2014/03/29 | first author:Ou X",
